,id_nuts,area,lat,lon
649,FR622,0.975,44.26168,2.667
650,FR623,0.758,43.34747,1.15932
651,FR624,0.713,43.69301,0.43785
652,FR625,0.612,44.63667,1.60731
653,FR626,0.434,43.07125,0.17914
654,FR627,0.647,43.77947,2.15654
655,FR628,0.392,44.0918,1.28321
656,FR631,0.659,45.36416,1.90339
657,FR632,0.635,46.07184,2.02382
658,FR633,0.655,45.88215,1.2069
659,FR711,0.673,46.11239,5.37036
660,FR712,0.626,44.74936,4.39285
661,FR713,0.777,44.67092,5.1236
662,FR714,0.952,45.24444,5.58123
663,FR715,0.583,45.73432,4.16907
664,FR716,0.38,45.83586,4.65581
665,FR717,0.751,45.50769,6.42508
666,FR718,0.491,46.05302,6.43864
667,FR721,0.962,46.37901,3.21093
668,FR722,0.675,45.04974,2.67003
669,FR723,0.492,45.11983,3.76687
670,FR724,0.871,45.6942,3.16781
671,FR811,0.631,43.11751,2.44436
672,FR812,0.605,43.99587,4.15845
673,FR813,0.723,43.57704,3.37976
674,FR814,0.614,44.52856,3.48442
675,FR815,0.483,42.6011,2.53351
676,FR821,0.762,44.10169,6.28051
677,FR822,0.689,44.65513,6.26358
678,FR823,0.462,43.92522,7.13226
679,FR824,0.691,43.55752,5.08981
